,0,1
0,veritasium,"Serious career highlight making the most recent video with @donttrythis 

https://t.co/VJhW8geA6o https://t.co/DnuYB9rcpS"
1,veritasium,@Arghadeep469 @MysteryGuitarM Tomorrow
2,veritasium,@MysteryGuitarM Guitar: impossible - marriage of figaro
3,veritasium,@Benny__2609 No immediate plans for it but maybe some day…
4,veritasium,"@CJHandmer @Cosmic_Horizons @lauroralei I’ve done videos on this in the past with just a hand wave, eg https://t.co/mEldx7BI7i"
5,veritasium,@devinbarney11 All good. This is a popular topic and I know a lot of people are into it. It’s important to know!
6,veritasium,@devinbarney11 I’m not aware of that book or author. Inspirations are mainly Kahneman and Ericsson and others cited
7,veritasium,Which would you click?
8,veritasium,"New video is imminent. Which means I need your opinion. Which of these thumbnails do you prefer?
(poll below) https://t.co/WTrRo0m5g1"
9,veritasium,"@jasonzweigwsj hey, I’m trying to find the original source for something in one of your articles. Can you please help me find it?"
10,veritasium,@1ine4r @Jawad_Dheini @LCTTA @MBurnsKaurin The ions are mobile so if you bring something positive close by the negatives will move closer to it. If you bring something negative nearby the positives move closer to it.
11,veritasium,@Jawad_Dheini @LCTTA @MBurnsKaurin Right. Pure water contains ions: H+ and OH-
12,veritasium,"@MBurnsKaurin @LCTTA It is electric but not the electric dipole of water.

https://t.co/0WPBFmc0Oj"
13,veritasium,@FurbyFubar I’ve got $20 per ounce for gold in 1850 https://t.co/i2DrqEFPL6
14,veritasium,"RT @FutureForumFdn: Final Weekend to Apply to Future Forum!
― now ft. @veritasium,@3blue1brown,@sama, @patrickc, @DanielaAmodei, @anderssan…"
15,veritasium,"Aussies! Check out Carbon on the ABC tonight

Made by the team I worked with on #Uranium and #Vitamania

@thecarbonmovie https://t.co/0h6fzI6EKC"
16,veritasium,@TobyHendy Thanks for joining on such short notice!
17,veritasium,@captainspinifex @Mello_steven That one was always titled ‘the big misconception about electricity’
18,veritasium,"@captainspinifex I am curious, which ones do you find clickbaity/false?"
19,veritasium,Which thumbnail do you prefer?
20,veritasium,"Which thumbnail do you prefer?
(poll below) https://t.co/kXPNiJaJWy"
21,veritasium,@Robin_B Was great to meet you and see your art!
22,veritasium,@christos_markou I can upload an .srt file if you email it to me…
23,veritasium,@Tauss_srgl Me too! I built 10 ft supporting structures to isolate the circuit
24,veritasium,@linusgsebastian @Dropbox Yes please!
25,veritasium,@TheDukeInPurple @Dropbox But apparently it doesn’t just do that if you transfer in with more than 4TB which seems dumb. The starting limit should be at least 5 TB since they know that’s what you came from
26,veritasium,@brettrann @Dropbox I don’t understand who made this decision And why it hasn’t been fixed yet
27,veritasium,@TheDukeInPurple @Dropbox The second support guy I talked to explained it like this. The first told me to call anytime I needed more space 🤷🏻‍♂️
28,veritasium,"That’s right, with @Dropbox you pay more money and get less storage, by default.

Dropbox declined to offer any compensation for their idiotic business practice or the inconvenience it caused.

So anyone got good cloud storage recommendations?"
29,veritasium,"The @dropbox support guy confirmed that when you upgrade from the Standard 5 TB storage plan to the Advanced ‘as much storage as needed’ plan, the new default storage is 4 TB.

If you want more storage you have to call them and request it. 🤯"
