,User,Tweet
0,njmchingu,"RT @aeong9289: (My first) GIVEAWAY karena akhirnya bisa ntn The Link🥹🥹

Rules: just simply rt, like &amp; reply mau gift yg mana🫶🏻
For 10 winne…"
1,lovelihan,"RT @idol_votes: 2022 Genie Music Awards — Best Male Group Nominees:
🎁VOTES🎁
BIGBANG
BTS
NCT DREAM
SEVENTEEN
#BIGBANG #BTS #NCTDREAM #StrayK…"
2,simi_so_la,"RT @ojogbadura: The Nigerian Police force today (6th of October, 2022) at 15:44 escorted me to a POS and withdrew 100k of my hard earned mo…"
3,BookmarkedDream,"RT @NCTDREAMCENTER: 221007 SCHEDULE: NCT DREAM @ 2022 K Culture Festival 'THE K Concert'

🕖 7pm KST
📍 Jamsil Olympic Stadium
📺 LIVE STREAM:…"
4,loonneytoon,"RT @onebvcs: IG FOLLOWERS | 6th October, 2022

🤍 bbrightvc : 16,236,806 [+6,163]
📸 isawitbefore : 687,100
🪐 astrostuffs : 311,394

#bbright…"
5,ramiro_enoc,"RT @RaRa_MuSa: Ella es ELIZABETH GOMEZ ALCORTA, quien renunció al MINISTERIO DEFICITARIO Y SIN NINGÚN OBJETIVO CUMPLIDO DE LA MUJER, minist…"
6,ilkaborio,RT @UOLNoticias: Josias de Souza: Bolsonaro lança míssil no pé ao ligar voto de nordestinos ao analfabetismo https://t.co/PVn2EvgInm
7,SRNDDWDW,"RT @_BBOPEEP: ✍🏻 เกียรติบัตรแสดงคำขอบคุณ

EXO-L ที่ผมรัก

สำหรับการรอคอยตลอด 1 ปี 6 เดือนด้วยความรักที่ไม่มีที่สิ้นสุด สำหรับที่ต้อนรับผมก…"
8,saulvasquezhn,"RT @CopecoHonduras1: 📢 Boletín Informativo No. 008-2022

Ciclón tropical ingresaría como depresión tropical el próximo lunes 👇🏽 https://t.c…"
9,MariaJoseYellic,"RT @InvictosSomos: Sin importar qué suceda en el Mundial de Qatar 2022, solo podemos agradecerles. Gracias por tanto fútbol, Lio y Cris. LO…"
10,NinfaAlvarenga,"RT @TraductorTeAma: Argentina registró el menor consumo de carne en cien años
junio 22, 2022 

Pero con solidaridad, empatía y justicia soc…"
11,fentymenage,"@BeautysMotivee @wtf_ant8 @dearoldluis Nah sis lol, if you’ve been listening to her since 2010, you ain’t a new Barb in 2022."
12,Mathapelo_PUSHP,"RT @2022AFRICA: 19 jan 2019 🔥🔥🔥🔥🔥
06 August 2019 🔥🔥🔥
15 march 2020 💀💀💀💀💀
04 July 2021 🔥🔥🔥
29 August 2022 🔥🔥🔥🔥🔥"
13,dukunanak_,"RT @kchartsmaster: 2022 Genie Music Awards — Album of the Year Nominees:

Psy 9th
BORN PINK
Glitch Mode
I NEVER DIE
IM HERO
INVU
PANORAMA
P…"
14,OlaviLuna,"RT @RevistaVino: El vino y el tiempo. La Rioja Alta S.A. está vendimiando hoy un viñedo artesanal de 65 años en San Felices, Haro, (La Rioj…"
15,quack_79,RT @BoingBoing: We finally have a Santa Claus action movie starring David Harbour https://t.co/dfRx7EuKMQ https://t.co/ie5Bo4zSUc
16,guacamolesaus,"RT @ruairiak: An investigation by @rebtanhs &amp; @washingtonpost’s visual forensics team shows how the firing of 40+ munitions—incl. tear gas,…"
17,aleflaceara,"RT @NoticiasRedetv: Prefeitos mineiros se juntam a Zema para apoiar Bolsonaro

- O encontro com os prefeitos deve ocorrer em 14 de outubro.…"
18,bts_magui,"RT @statsforbangtan: j-hope is currently the 4th best-selling Korean male soloist in 2022 with 482,851 copies sold of Jack In The Box!

Thi…"
19,thea_blooms,RT @allkpop: #WEi begins the comeback countdown with a schedule chart for their 5th mini-album 'Love Pt.2: Passion' https://t.co/wQdQtCQ0PW
20,Jackahz77,@USAA_help @ShieldVoC https://t.co/JZObuzJIoX
21,hibella3456,RT @tori_saylor: It’s 2022 and Tom Barrett said he doesn’t support gay marriage. #MI07 https://t.co/4ktFNjH6I2
22,anotherdayinsrq,"RT @rgoodlaw: This may help force the Justice Department’s hand toward an indictment.

“A top Justice Department official told … Trump’s la…"
23,xDarkFlamax,RT @elmundotoday: Patrisio logra volver a su casa tras ser rescatado de la casa de empeños en la que fue abandonado por su madre https://t.…
24,LRizz20,"RT @usatodayDC: In addition to pardoning thousands convicted of simple pot possession, Biden moved to potentially remove marijuana as a Sch…"
25,hhjside,"RT @Stray_Kids: Stray Kids(스트레이 키즈) [INTRO ""MAXIDENT""]

https://t.co/AUvEr6Upus

2022.10.07 FRI 1PM (KST) | 0AM (EST)

💗Pre-Save and Pre-Or…"
26,pankajdel80,"RT @Unitedd_India: Modi Sarkar’s “Economic Model”

India’s 2022 GDP growth to decline to 5.7%… Masterstroke !

https://t.co/VbHWx7Bqpj http…"
27,EmelyLuikart,RT @AussieBrief: https://t.co/biowrBP6Xn
28,yoshifiles,"RT @TREASURESCHDL: TREASURE SCHEDULE

🗓9 OCTOBER 2022

📺SBS Inkigayo 
📅23-08-2020
⏰3:40PM KST

Streaming Links:
🔗https://t.co/69sS3drtfQ
🔗h…"
29,queenel67985463,"RT @stariray1949: Congratulations, love  @bernardokath 💙❤️   So many blessings and more to come 🥹 Thanks @TCL for choosing THE Phenomenal Q…"
